scenario_id,split,generation_seed,source_hash,reference_data_hash,reference_solver_commit,reference_solver_hash,sensor_layout_hash,observations_hash,physics_hash,reference_path,noise_std,max_reference_error_estimate,reference_target_met,x_true,y_true,Q_true,reference_grid,dt
final_blind_v1_001,final_blind_v1,8783479076261865181,37265d4e01f062977f5cca573ff7b41ca07ed0321e4e827c34ecf79c43ad649a,79f51aaf60258456f521d4ad478a6453026b37a78faeec97be11b8bda36c2913,33892895805d692c8c3960d8646c43d6a4f7536d,171d63443cc789534402b08ad497b17f18fbb113e9530d38c6ffedd9ae77b8b8,c0533d4c030bc4ce020eaaebf6531a19453d36b5e322e6c63eb9d27baef2ebd2,9931457ff42a49dfdf5fdb2b0a773ce34292b0b78df5611cc0c5ca4fcd192893,40e67e02388db09f51908951da82f830ea172d82e026f62a10d75083261a6120,datasets/final_blind_v1_001/truth/grid_641/checkpoint.npz,0.0,0.0077827592680276,True,0.474627350088808,0.5641658156887355,1.1121200588979085,641,3.125e-05
final_blind_v1_002,final_blind_v1,877745998516942363,4b176d6ed6cd025cd04a7d42a0868d8e40947a3e7d0964604157422b4ceef2f8,ec2970f79f6e5e04b65eee3e5c0df1aa0569029017496ac540e8760e9852c536,33892895805d692c8c3960d8646c43d6a4f7536d,171d63443cc789534402b08ad497b17f18fbb113e9530d38c6ffedd9ae77b8b8,c0533d4c030bc4ce020eaaebf6531a19453d36b5e322e6c63eb9d27baef2ebd2,51e5758acd8ece8aae19b247a35b72462c98585e6c855385ccee7afedefa1200,40e67e02388db09f51908951da82f830ea172d82e026f62a10d75083261a6120,datasets/final_blind_v1_002/truth/grid_641/checkpoint.npz,0.0,0.008335984519549552,True,0.498907988567038,0.7307807772785597,1.3747651413585673,641,3.125e-05
final_blind_v1_003,final_blind_v1,2507977589283811372,1fd22c802a5cf6a566346213e58660c509b7805ddcfe004a7a62a2c0f5ef5001,71d0fc65a6d63c8734d4118b522846d09b80fbc3882dc382d535916b5d4ee465,33892895805d692c8c3960d8646c43d6a4f7536d,171d63443cc789534402b08ad497b17f18fbb113e9530d38c6ffedd9ae77b8b8,c0533d4c030bc4ce020eaaebf6531a19453d36b5e322e6c63eb9d27baef2ebd2,c7a5c1a2c259723892d25a78f5fb83b5b70d4f4d7eb0651ce51d7d976a2d7755,40e67e02388db09f51908951da82f830ea172d82e026f62a10d75083261a6120,datasets/final_blind_v1_003/truth/grid_641/checkpoint.npz,0.0,0.007696833807344052,True,0.5353784315055168,0.6131215077012746,1.0345640126793336,641,3.125e-05
final_blind_v1_004,final_blind_v1,964082725456360135,a549803434a8c9b1ff44b3f04d908dd6d8cbb973795e898aeb7edadb11d05b79,1794295950a63bc6965c328adbc5870d2cd304477afab759055daf646fd8af0a,33892895805d692c8c3960d8646c43d6a4f7536d,171d63443cc789534402b08ad497b17f18fbb113e9530d38c6ffedd9ae77b8b8,c0533d4c030bc4ce020eaaebf6531a19453d36b5e322e6c63eb9d27baef2ebd2,43bf1a48e0fdb9b763388bfffc7f11041177dadfcb102cca01e5e12a8f080ad8,40e67e02388db09f51908951da82f830ea172d82e026f62a10d75083261a6120,datasets/final_blind_v1_004/truth/grid_641/checkpoint.npz,0.0,0.009090095232668021,True,0.7168439344813469,0.3327984332638125,0.8219700800168444,641,3.125e-05
final_blind_v1_005,final_blind_v1,6855245778528252071,c20ef1427e7320110f6dc68cad2d0001fbdfb93489c276c2a207d18f0d5c42f3,957414c97756778a915c26c32ac6838fdce6dc96c6a72fcea6ac4f027f6a4e38,33892895805d692c8c3960d8646c43d6a4f7536d,171d63443cc789534402b08ad497b17f18fbb113e9530d38c6ffedd9ae77b8b8,c0533d4c030bc4ce020eaaebf6531a19453d36b5e322e6c63eb9d27baef2ebd2,4f65d3ee0a3e3498bf757e0ff29d8030a5360d49664ee751d7cef1d9c501c887,40e67e02388db09f51908951da82f830ea172d82e026f62a10d75083261a6120,datasets/final_blind_v1_005/truth/grid_641/checkpoint.npz,0.0,0.007800437724809932,True,0.2569786538992116,0.4285018320036125,0.8620094344192664,641,3.125e-05
final_blind_v1_006,final_blind_v1,4224336916762820817,6a77ec6dde32b978c9db964ac975c3ea8ec4afaa84506a41633861cadc11d84a,a96acb8dbbc4588043a0d1de77c8a8f85560c9ef6658f026ba9680f628b9588b,33892895805d692c8c3960d8646c43d6a4f7536d,171d63443cc789534402b08ad497b17f18fbb113e9530d38c6ffedd9ae77b8b8,c0533d4c030bc4ce020eaaebf6531a19453d36b5e322e6c63eb9d27baef2ebd2,bfea2f836606009b11f39e2ff9c88fb7cf65a7071c4488db7445e5dfe7b2c645,40e67e02388db09f51908951da82f830ea172d82e026f62a10d75083261a6120,datasets/final_blind_v1_006/truth/grid_641/checkpoint.npz,0.0,0.007906314699349187,True,0.2505104186940489,0.6167414587489781,1.2464752470873801,641,3.125e-05
final_blind_v1_007,final_blind_v1,192500445959599077,a021502ca202ccb67b5fd9b869c2cc2c2705338d3d99970c39c4866249020423,64716539e64afced992c09278187b1f989f8b1a388a130c56d228fca1a58f63b,33892895805d692c8c3960d8646c43d6a4f7536d,171d63443cc789534402b08ad497b17f18fbb113e9530d38c6ffedd9ae77b8b8,c0533d4c030bc4ce020eaaebf6531a19453d36b5e322e6c63eb9d27baef2ebd2,cbbe0687b1c77ea5f30fc68b8027b4a66a3e590404ce85bd0bc032d2be492258,40e67e02388db09f51908951da82f830ea172d82e026f62a10d75083261a6120,datasets/final_blind_v1_007/truth/grid_641/checkpoint.npz,0.0,0.00856850791070347,True,0.39409538737052974,0.4914456455058536,0.997808050913236,641,3.125e-05
final_blind_v1_008,final_blind_v1,6627311543467045158,c5962847d660ed54dd722a2db02d81ced2b77a64115eeb6f90a82e61cf404656,cf77b4526e3e2e46f29e30b3701cf2e4598d99bfafe58e92f2d38b16b932ab2e,33892895805d692c8c3960d8646c43d6a4f7536d,171d63443cc789534402b08ad497b17f18fbb113e9530d38c6ffedd9ae77b8b8,c0533d4c030bc4ce020eaaebf6531a19453d36b5e322e6c63eb9d27baef2ebd2,73262090b4e3431c28ff9aca95e609bd29b9f64c703e74a61faa428727f23baa,40e67e02388db09f51908951da82f830ea172d82e026f62a10d75083261a6120,datasets/final_blind_v1_008/truth/grid_641/checkpoint.npz,0.0,0.008735053789980527,True,0.6583641952984207,0.7311222002316733,0.9680131891994131,641,3.125e-05
final_blind_v1_009,final_blind_v1,8216395168681131078,9429155bb467bacf33ec964cc96813549b328819ffd650931c0a15151908b0f2,2dc3d6facc963eca946ce8743b5dc4f978021d8c1c96b453ed8728cfca6b0369,33892895805d692c8c3960d8646c43d6a4f7536d,171d63443cc789534402b08ad497b17f18fbb113e9530d38c6ffedd9ae77b8b8,c0533d4c030bc4ce020eaaebf6531a19453d36b5e322e6c63eb9d27baef2ebd2,6f391ca04130baa098349b3d32cfe4eb3ac4c4d5c24beee8c619c75852222528,40e67e02388db09f51908951da82f830ea172d82e026f62a10d75083261a6120,datasets/final_blind_v1_009/truth/grid_641/checkpoint.npz,0.0,0.00760795915641157,True,0.573719459743427,0.3647695262968245,1.0095717560068111,641,3.125e-05
final_blind_v1_010,final_blind_v1,1497057556555095658,d5c01a637fb03f118ba1dc21ca8254260d3234770647b66fabcc63ba9af2a04b,af188b9fcd1cdf37f22c97c20ff42bc23959db3b07e8925d664da4a1506b26e1,33892895805d692c8c3960d8646c43d6a4f7536d,171d63443cc789534402b08ad497b17f18fbb113e9530d38c6ffedd9ae77b8b8,c0533d4c030bc4ce020eaaebf6531a19453d36b5e322e6c63eb9d27baef2ebd2,2bec3e23d15772c67759a075907c4e2488e0d11af918117a2d4fd0d2371c1ed4,40e67e02388db09f51908951da82f830ea172d82e026f62a10d75083261a6120,datasets/final_blind_v1_010/truth/grid_641/checkpoint.npz,0.0,0.009510879380712168,True,0.7330400080830475,0.34352079393819174,0.8547894825968508,641,3.125e-05
